,Unnamed: 0,X,Y,RA,DEC,I,DI,Q,DQ,U,DU,P,DP,ANG,DANG,PI,DPI,AST,PCA,ID
128,1280,8.5,0.5,344.0153583333333,62.03137777777778,221.876,2.15277,3.56728,1.23792,1.88784,2.32012,1.81904,0.694788,103.9441,15.1249,4.03602,1.54107,1,1,2524
129,1281,9.5,0.5,344.00825,62.031375,249.702,1.41589,-2.53516,1.75274,2.97677,1.36499,1.56587,0.616775,155.2096,11.7318,3.91001,1.53994,1,1,2525
130,1282,10.5,0.5,344.00114583333334,62.031369444444444,295.765,2.85256,5.03974,1.83054,11.7778,2.41407,4.33141,0.790018,123.417,4.32131,12.8108,2.33332,1,1,2526
131,1285,13.5,0.5,343.97982083333335,62.03135833333333,71.4894,2.60859,-8.12441,3.04331,-0.949467,1.73887,11.4418,4.25816,3.332800000000006,6.17412,8.1797,3.02947,1,1,2529
132,1319,-11.5,1.5,344.15751666666665,62.03469722222222,93.4479,1.98529,1.02937,2.58868,3.22292,1.42151,3.62053,1.67811,126.1435,21.199,3.38331,1.56651,1,1,2591
133,1320,-10.5,1.5,344.15040833333336,62.034702777777774,232.981,3.11668,-2.09052,1.07104,3.58354,1.66806,1.78072,0.660814,150.1289,8.63103,4.14874,1.53857,1,1,2592
134,1321,-9.5,1.5,344.1433,62.034705555555554,327.831,1.70699,6.26907,0.434276,0.112108,2.40854,1.91259,0.13347,90.512248,11.0029,6.27007,0.436337,1,1,2593
135,1322,-8.5,1.5,344.13619166666666,62.034708333333334,307.406,3.8531,8.13875,2.76073,-13.9427,2.28944,5.25178,0.78931,60.136700000000005,4.70047,16.1443,2.41793,1,1,2594
136,1323,-7.5,1.5,344.1290833333333,62.03471111111111,372.617,3.29723,13.7571,3.16428,-13.8927,1.66356,5.2471,0.678109,67.3596,3.71421,19.5516,2.52082,1,1,2595
137,1324,-6.5,1.5,344.121975,62.03471388888889,472.723,2.71815,1.66256,2.64453,-14.0293,1.81729,2.98853,0.387776,48.3792,5.343,14.1274,1.8313,1,1,2596
138,1325,-5.5,1.5,344.11486666666667,62.03471666666667,836.2,2.39829,3.25198,2.77601,-21.524,1.74112,2.60324,0.211903,49.2958,3.62852,21.7683,1.77083,1,1,2597
139,1326,-4.5,1.5,344.1077583333333,62.03471944444444,1767.13,2.90727,4.895,2.16972,-48.4947,1.22463,2.7582,0.070191,47.8819,1.27087,48.7411,1.23777,1,1,2598
140,1327,-3.5,1.5,344.10065,62.03471944444444,2709.65,2.21467,-15.7931,1.41913,-86.2429,1.62505,3.23573,0.0597998,39.8114,0.466027,87.677,1.61878,1,1,2599
